;DATE;T_Q_Moyenne;Anomalies;Month;Day
273;2010-10-01 00:00:00;12,47313976;1;10;1
274;2010-10-02 00:00:00;15,59939384;1;10;2
275;2010-10-03 00:00:00;16,94082069;1;10;3
276;2010-10-04 00:00:00;14,99350929;1;10;4
277;2010-10-05 00:00:00;13,79501629;1;10;5
278;2010-10-06 00:00:00;14,66267681;1;10;6
279;2010-10-07 00:00:00;15,46640778;1;10;7
280;2010-10-08 00:00:00;16,3790741;1;10;8
281;2010-10-09 00:00:00;15,91779137;1;10;9
282;2010-10-10 00:00:00;13,95528698;1;10;10
283;2010-10-11 00:00:00;12,0032053;1;10;11
284;2010-10-12 00:00:00;11,31460762;1;10;12
285;2010-10-13 00:00:00;9,598917961;1;10;13
286;2010-10-14 00:00:00;8,384159088;1;10;14
287;2010-10-15 00:00:00;8,100970268;1;10;15
288;2010-10-16 00:00:00;7,829327106;1;10;16
289;2010-10-17 00:00:00;5,765588284;1;10;17
290;2010-10-18 00:00:00;5,700161934;1;10;18
291;2010-10-19 00:00:00;7,897179604;1;10;19
292;2010-10-20 00:00:00;6,476354599;1;10;20
293;2010-10-21 00:00:00;4,260412216;1;10;21
294;2010-10-22 00:00:00;6,144874573;1;10;22
295;2010-10-23 00:00:00;8,34838295;1;10;23
296;2010-10-24 00:00:00;7,160321236;1;10;24
297;2010-10-25 00:00:00;4,702021599;1;10;25
298;2010-10-26 00:00:00;4,478911877;1;10;26
299;2010-10-27 00:00:00;7,045693398;1;10;27
300;2010-10-28 00:00:00;8,695925713;1;10;28
301;2010-10-29 00:00:00;11,15255737;1;10;29
302;2010-10-30 00:00:00;10,59870625;1;10;30
303;2010-10-31 00:00:00;10,49238777;1;10;31
304;2010-11-01 00:00:00;9,904326439;1;11;1
305;2010-11-02 00:00:00;9,604255676;1;11;2
306;2010-11-03 00:00:00;12,10743046;1;11;3
307;2010-11-04 00:00:00;13,35233498;1;11;4
308;2010-11-05 00:00:00;12,61543655;1;11;5
309;2010-11-06 00:00:00;11,01304054;1;11;6
310;2010-11-07 00:00:00;6,5765872;1;11;7
311;2010-11-08 00:00:00;5,079822063;1;11;8
312;2010-11-09 00:00:00;7,109724998;1;11;9
313;2010-11-10 00:00:00;5,992498875;1;11;10
314;2010-11-11 00:00:00;7,06193924;1;11;11
315;2010-11-12 00:00:00;12,04579449;1;11;12
316;2010-11-13 00:00:00;12,56544685;1;11;13
317;2010-11-14 00:00:00;11,28486633;1;11;14
318;2010-11-15 00:00:00;6,938232899;1;11;15
319;2010-11-16 00:00:00;4,684482098;1;11;16
320;2010-11-17 00:00:00;4,264880657;1;11;17
321;2010-11-18 00:00:00;5,498433113;1;11;18
322;2010-11-19 00:00:00;5,815689564;1;11;19
323;2010-11-20 00:00:00;6,019965649;1;11;20
324;2010-11-21 00:00:00;5,248342037;1;11;21
325;2010-11-22 00:00:00;3,849322796;1;11;22
326;2010-11-23 00:00:00;2,793105602;1;11;23
327;2010-11-24 00:00:00;2,210018158;1;11;24
328;2010-11-25 00:00:00;1,351708412;1;11;25
329;2010-11-26 00:00:00;-0,819874644;1;11;26
330;2010-11-27 00:00:00;-0,807612181;1;11;27
331;2010-11-28 00:00:00;-0,119935304;1;11;28
332;2010-11-29 00:00:00;-1,205458999;1;11;29
333;2010-11-30 00:00:00;-1,688576698;1;11;30
334;2010-12-01 00:00:00;-1,840507507;1;12;1
335;2010-12-02 00:00:00;-2,728548288;1;12;2
336;2010-12-03 00:00:00;-3,270440578;1;12;3
337;2010-12-04 00:00:00;-1,464597583;1;12;4
338;2010-12-05 00:00:00;2,400353909;1;12;5
339;2010-12-06 00:00:00;4,931186676;1;12;6
340;2010-12-07 00:00:00;5,89044714;1;12;7
341;2010-12-08 00:00:00;6,204104424;1;12;8
342;2010-12-09 00:00:00;0,950697541;1;12;9
343;2010-12-10 00:00:00;0,607440352;1;12;10
344;2010-12-11 00:00:00;2,7015872;1;12;11
345;2010-12-12 00:00:00;2,471299887;1;12;12
346;2010-12-13 00:00:00;-1,072118878;1;12;13
347;2010-12-14 00:00:00;-2,730630875;1;12;14
348;2010-12-15 00:00:00;-3,538586617;1;12;15
349;2010-12-16 00:00:00;-1,083885908;1;12;16
350;2010-12-17 00:00:00;-1,393388629;1;12;17
351;2010-12-18 00:00:00;-2,268054962;1;12;18
352;2010-12-19 00:00:00;2,404397488;1;12;19
353;2010-12-20 00:00:00;3,629882813;1;12;20
354;2010-12-21 00:00:00;4,27947855;1;12;21
355;2010-12-22 00:00:00;5,153133869;1;12;22
356;2010-12-23 00:00:00;3,647048235;1;12;23
357;2010-12-24 00:00:00;-0,265861303;1;12;24
358;2010-12-25 00:00:00;-3,297492981;1;12;25
359;2010-12-26 00:00:00;-4,320188046;-1;12;26
360;2010-12-27 00:00:00;-1,607794166;1;12;27
361;2010-12-28 00:00:00;2,313131809;1;12;28
362;2010-12-29 00:00:00;3,822533369;1;12;29
363;2010-12-30 00:00:00;3,997098684;1;12;30
364;2010-12-31 00:00:00;2,873625278;1;12;31
365;2011-01-01 00:00:00;1,484896898;1;1;1
366;2011-01-02 00:00:00;0,759259999;1;1;2
367;2011-01-03 00:00:00;-1,293985009;1;1;3
368;2011-01-04 00:00:00;-1,455226421;1;1;4
369;2011-01-05 00:00:00;2,164142609;1;1;5
370;2011-01-06 00:00:00;8,17797184;1;1;6
371;2011-01-07 00:00:00;10,15865326;1;1;7
372;2011-01-08 00:00:00;9,888627052;1;1;8
373;2011-01-09 00:00:00;5,604063511;1;1;9
374;2011-01-10 00:00:00;2,557440281;1;1;10
375;2011-01-11 00:00:00;5,157430172;1;1;11
376;2011-01-12 00:00:00;6,926344395;1;1;12
377;2011-01-13 00:00:00;9,804923058;1;1;13
378;2011-01-14 00:00:00;8,478730202;1;1;14
379;2011-01-15 00:00:00;7,39057827;1;1;15
380;2011-01-16 00:00:00;6,438940525;1;1;16
381;2011-01-17 00:00:00;6,512100697;1;1;17
382;2011-01-18 00:00:00;5,879245758;1;1;18
383;2011-01-19 00:00:00;2,482774019;1;1;19
384;2011-01-20 00:00:00;0,386332393;1;1;20
385;2011-01-21 00:00:00;-1,165184021;1;1;21
386;2011-01-22 00:00:00;-1,354559183;1;1;22
387;2011-01-23 00:00:00;-0,777385771;1;1;23
388;2011-01-24 00:00:00;0,768954694;1;1;24
389;2011-01-25 00:00:00;1,312970161;1;1;25
390;2011-01-26 00:00:00;1,675960302;1;1;26
391;2011-01-27 00:00:00;1,189082146;1;1;27
392;2011-01-28 00:00:00;0,424898922;1;1;28
393;2011-01-29 00:00:00;0,044642132;1;1;29
394;2011-01-30 00:00:00;-1,349120498;1;1;30
395;2011-01-31 00:00:00;-2,006944895;1;1;31
396;2011-02-01 00:00:00;-1,699241877;1;2;1
397;2011-02-02 00:00:00;0,379245847;1;2;2
398;2011-02-03 00:00:00;3,837555647;1;2;3
399;2011-02-04 00:00:00;6,471209049;1;2;4
400;2011-02-05 00:00:00;7,389698505;1;2;5
401;2011-02-06 00:00:00;6,025191784;1;2;6
402;2011-02-07 00:00:00;6,08138895;1;2;7
